CPUOperator,Score
CoalesceExec,3.29
CollectLimitExec,3.29
ExpandExec,965362.31
FileSourceScanExec,1.93
FilterExec,2.18
GenerateExec,3.29
GlobalLimitExec,3.29
LocalLimitExec,3.29
ProjectExec,3.29
RangeExec,3.29
SampleExec,3.29
SortExec,3.29
SubqueryBroadcastExec,2.45
TakeOrderedAndProjectExec,1.0
UnionExec,2.45
CustomShuffleReaderExec,2.45
HashAggregateExec,5.52
ObjectHashAggregateExec,5.52
SortAggregateExec,5.52
InMemoryTableScanExec,2.45
DataWritingCommandExec,3.29
ExecutedCommandExec,3.29
BatchScanExec,1.93
BroadcastExchangeExec,2.45
ShuffleExchangeExec,4.36
BroadcastHashJoinExec,3.37
BroadcastNestedLoopJoinExec,15775884.28
CartesianProductExec,3.29
ShuffledHashJoinExec,3.29
SortMergeJoinExec,5.9
FlatMapCoGroupsInPandasExec,1.2
WindowExec,3.29
HiveTableScanExec,2.45
Abs,3.29
Acos,3.29
Acosh,3.29
Add,3.29
AggregateExpression,3.29
Alias,3.29
And,3.29
ApproximatePercentile,3.29
ArrayContains,3.29
ArrayExcept,3.29
ArrayExists,3.29
ArrayIntersect,3.29
ArrayMax,3.29
ArrayMin,3.29
ArrayRemove,3.29
ArrayRepeat,3.29
ArrayTransform,3.29
ArrayUnion,3.29
ArraysOverlap,3.29
ArraysZip,3.29
Asin,3.29
Asinh,3.29
AtLeastNNonNulls,3.29
Atan,3.29
Atanh,3.29
AttributeReference,3.29
Average,3.29
BRound,3.29
BitLength,3.29
BitwiseAnd,3.29
BitwiseNot,3.29
BitwiseOr,3.29
BitwiseXor,3.29
CaseWhen,3.29
Cbrt,3.29
Ceil,3.29
CheckOverflow,3.29
Coalesce,3.29
CollectList,3.29
CollectSet,3.29
Concat,3.29
ConcatWs,3.29
Contains,3.29
Conv,3.29
Cos,3.29
Cosh,3.29
Cot,3.29
Count,3.29
CreateArray,3.29
CreateMap,3.29
CreateNamedStruct,3.29
CurrentRow$,2.45
DateAdd,3.29
DateAddInterval,3.29
DateDiff,3.29
DateFormatClass,3.29
DateSub,3.29
DayOfMonth,3.29
DayOfWeek,3.29
DayOfYear,3.29
DenseRank,3.29
Divide,3.29
DynamicPruningExpression,3.29
ElementAt,3.29
EndsWith,3.29
EqualNullSafe,3.29
EqualTo,3.29
Exp,3.29
Explode,3.29
Expm1,3.29
First,3.29
Flatten,3.29
Floor,3.29
FormatNumber,3.29
FromUTCTimestamp,3.29
FromUnixTime,3.29
GetArrayItem,3.29
GetArrayStructFields,3.29
GetJsonObject,3.29
GetMapValue,3.29
GetStructField,3.29
GetTimestamp,3.29
GreaterThan,3.29
GreaterThanOrEqual,3.29
Greatest,3.29
HiveGenericUDF,3.29
HiveSimpleUDF,3.29
Hour,3.29
Hypot,3.29
If,3.29
In,3.29
InSet,3.29
InitCap,3.29
InputFileBlockLength,3.29
InputFileBlockStart,3.29
InputFileName,3.29
IntegralDivide,3.29
IsNaN,3.29
IsNotNull,3.29
IsNull,3.29
JsonToStructs,3.29
JsonTuple,3.29
KnownFloatingPointNormalized,3.29
KnownNotNull,3.29
Lag,3.29
LambdaFunction,3.29
Last,3.29
LastDay,3.29
Lead,3.29
Least,3.29
Length,3.29
LessThan,3.29
LessThanOrEqual,3.29
Like,3.29
Literal,3.29
Log,3.29
Log10,3.29
Log1p,3.29
Log2,3.29
Logarithm,3.29
Lower,3.29
MakeDecimal,3.29
MapConcat,3.29
MapEntries,3.29
MapFilter,3.29
MapKeys,3.29
MapValues,3.29
Max,3.29
Md5,3.29
MicrosToTimestamp,3.29
MillisToTimestamp,3.29
Min,3.29
Minute,3.29
MonotonicallyIncreasingID,3.29
Month,3.29
Multiply,3.29
Murmur3Hash,3.29
NaNvl,3.29
NamedLambdaVariable,3.29
NormalizeNaNAndZero,3.29
Not,3.29
NthValue,3.29
OctetLength,3.29
Or,3.29
ParseUrl,2.45
Percentile,3.29
PercentRank,3.29
PivotFirst,3.29
Pmod,3.29
PosExplode,3.29
Pow,3.29
PreciseTimestampConversion,3.29
PromotePrecision,3.29
PythonUDF,3.29
Quarter,3.29
RLike,3.29
RaiseError,3.29
Rand,3.29
Rank,3.29
RegExpExtract,3.29
RegExpExtractAll,3.29
RegExpReplace,3.29
Remainder,3.29
ReplicateRows,3.29
Reverse,3.29
Rint,3.29
Round,3.29
RowNumber,3.29
ScalaUDF,3.29
ScalarSubquery,3.29
Second,3.29
SecondsToTimestamp,3.29
Sequence,3.29
ShiftLeft,3.29
ShiftRight,3.29
ShiftRightUnsigned,3.29
Signum,3.29
Sin,3.29
Sinh,3.29
Size,3.29
SortArray,3.29
SortOrder,3.29
SparkPartitionID,3.29
SpecifiedWindowFrame,3.29
Sqrt,3.29
Stack,3.29
StartsWith,3.29
StddevPop,3.29
StddevSamp,3.29
StringInstr,3.29
StringLPad,3.29
StringLocate,3.29
StringRPad,3.29
StringRepeat,3.29
StringReplace,3.29
StringSplit,3.29
StringToMap,3.29
StringTranslate,3.29
StringTrim,3.29
StringTrimLeft,3.29
StringTrimRight,3.29
StructsToJson,3.29
Substring,3.29
SubstringIndex,3.29
