CPUOperator,Score
CoalesceExec,3.92
CollectLimitExec,3.92
ExpandExec,5.13
FileSourceScanExec,3.39
FilterExec,3.24
GenerateExec,3.92
GlobalLimitExec,3.92
LocalLimitExec,3.92
ProjectExec,3.92
RangeExec,3.92
SampleExec,3.92
SortExec,3.92
SubqueryBroadcastExec,2.73
TakeOrderedAndProjectExec,1.0
UnionExec,2.73
CustomShuffleReaderExec,2.73
HashAggregateExec,6.34
ObjectHashAggregateExec,6.34
SortAggregateExec,6.34
InMemoryTableScanExec,2.73
DataWritingCommandExec,3.92
ExecutedCommandExec,3.92
BatchScanExec,3.39
BroadcastExchangeExec,2.73
ShuffleExchangeExec,5.89
BroadcastHashJoinExec,5.08
BroadcastNestedLoopJoinExec,2.97
CartesianProductExec,3.92
ShuffledHashJoinExec,3.92
SortMergeJoinExec,4.62
FlatMapCoGroupsInPandasExec,1.2
WindowExec,3.92
HiveTableScanExec,2.73
Abs,3.92
Acos,3.92
Acosh,3.92
Add,3.92
AggregateExpression,3.92
Alias,3.92
And,3.92
ApproximatePercentile,3.92
ArrayContains,3.92
ArrayExcept,3.92
ArrayExists,3.92
ArrayIntersect,3.92
ArrayMax,3.92
ArrayMin,3.92
ArrayRemove,3.92
ArrayRepeat,3.92
ArrayTransform,3.92
ArrayUnion,3.92
ArraysOverlap,3.92
ArraysZip,3.92
Asin,3.92
Asinh,3.92
AtLeastNNonNulls,3.92
Atan,3.92
Atanh,3.92
AttributeReference,3.92
Average,3.92
BRound,3.92
BitLength,3.92
BitwiseAnd,3.92
BitwiseNot,3.92
BitwiseOr,3.92
BitwiseXor,3.92
CaseWhen,3.92
Cbrt,3.92
Ceil,3.92
CheckOverflow,3.92
Coalesce,3.92
CollectList,3.92
CollectSet,3.92
Concat,3.92
ConcatWs,3.92
Contains,3.92
Conv,3.92
Cos,3.92
Cosh,3.92
Cot,3.92
Count,3.92
CreateArray,3.92
CreateMap,3.92
CreateNamedStruct,3.92
CurrentRow$,2.73
DateAdd,3.92
DateAddInterval,3.92
DateDiff,3.92
DateFormatClass,3.92
DateSub,3.92
DayOfMonth,3.92
DayOfWeek,3.92
DayOfYear,3.92
